,PERSON_ID,PLAYER_AGE,SEASON_ID,GP,W,L,W_PCT,MIN,PLUS_MINUS,DD2,TD3,HEIGHT,WEIGHT,SEASON_EXP,POSITION,FGM,FGA,FG3M,FTM,FTA,REB,AST,TOV,STL,BLK,PTS
1976,1626156,22.0,2017-18,48,16,32,0.33299999999999996,1233.715,-182,5,1,6-4,193,5,Guard,278,672,90,97,131,189,249,147,36,17,743
1977,1626156,23.0,2018-19,81,42,39,0.519,2447.955,22,14,0,6-4,193,5,Guard,659,1517,234,160,205,315,563,253,100,20,1712
1978,1626156,24.0,2019-20,45,11,34,0.244,1452.128333,-252,3,0,6-4,193,5,Guard,360,846,158,161,199,177,285,147,48,13,1039
1979,1626156,24.0,2019-20,45,11,34,0.244,1452.128333,-252,3,0,6-4,193,5,Guard,360,846,158,161,199,177,285,147,48,13,1039
1980,1626156,24.0,2019-20,45,11,34,0.244,1452.128333,-252,3,0,6-4,193,5,Guard,360,846,158,161,199,177,285,147,48,13,1039
1981,1626157,20.0,2015-16,82,29,53,0.354,2626.485,-131,52,0,6-11,248,5,Center-Forward,625,1153,30,223,275,858,161,183,58,138,1503
1982,1626157,21.0,2016-17,82,31,51,0.37799999999999995,3030.33,-26,62,1,6-11,248,5,Center-Forward,802,1480,101,356,428,1007,220,212,56,103,2061
1983,1626157,22.0,2017-18,82,47,35,0.573,2918.1883329999996,372,68,0,6-11,248,5,Center-Forward,639,1172,120,345,402,1012,199,159,64,115,1743
1984,1626157,23.0,2018-19,77,34,43,0.442,2544.66,56,54,0,6-11,248,5,Center-Forward,681,1314,142,376,450,954,259,240,67,125,1880
1985,1626157,24.0,2019-20,35,10,25,0.28600000000000003,1187.03,-15,24,0,6-11,248,5,Center-Forward,316,622,114,180,226,378,153,110,33,42,926
1986,1626167,20.0,2015-16,60,32,28,0.5329999999999999,1367.185,-69,4,0,6-11,250,5,Center-Forward,264,530,3,88,121,332,41,67,25,86,619
1987,1626167,21.0,2016-17,81,42,39,0.519,2541.005,143,15,0,6-11,250,5,Center-Forward,444,869,40,245,303,589,106,105,74,172,1173
1988,1626167,22.0,2017-18,65,39,26,0.6,1836.155,114,11,0,6-11,250,5,Center-Forward,306,639,56,160,206,417,87,96,38,118,828
1989,1626167,23.0,2018-19,74,43,31,0.581,2118.816667,121,17,0,6-11,250,5,Center-Forward,380,780,76,148,201,531,115,100,60,199,984
1990,1626167,24.0,2019-20,62,37,25,0.597,1825.8016670000002,-7,9,0,6-11,250,5,Center-Forward,268,587,86,127,169,407,72,85,46,132,749
1991,1626159,20.0,2015-16,78,46,32,0.59,2232.135,111,0,0,6-6,222,5,Forward-Guard,195,462,32,80,117,403,118,95,68,26,502
1992,1626159,21.0,2016-17,18,4,14,0.222,625.295,-6,1,0,6-6,222,5,Forward-Guard,80,225,7,29,47,94,66,33,26,6,196
1993,1626159,22.0,2017-18,68,33,35,0.485,1680.4566670000002,25,2,0,6-6,222,5,Forward-Guard,207,488,49,66,104,370,148,77,54,33,529
1994,1626159,23.0,2018-19,66,30,36,0.455,1959.505,119,6,0,6-6,222,5,Forward-Guard,324,749,96,86,137,355,282,142,72,19,830
1995,1626159,24.0,2019-20,11,7,4,0.636,352.25,52,1,0,6-6,222,5,Forward-Guard,50,129,6,18,27,73,44,24,7,5,124
1996,1626174,20.0,2015-16,17,0,17,0.0,144.7983333,-49,0,0,6-10,214,4,Forward,22,53,4,13,21,38,3,2,5,7,61
